117,N/A,Heads Up!,April 23 2015,2.4,28M,5000000 - 10000000,Everyone,Word,Warner Bros. International Enterprises,https://play.google.com/store/apps/details?id=com.wb.headsup,com.wb.headsup
108,N/A,Hill Racing 3D: Uphill Rush,May 7 2015,1.01,31M,100000 - 500000,Everyone,Racing,yuanyangyifang,https://play.google.com/store/apps/details?id=com.nicegame.racing,com.nicegame.racing
67,N/A,Summoners War,May 7 2015,1.5.7,13M,10000000 - 50000000,Medium Maturity,Role Playing,Com2uS,https://play.google.com/store/apps/details?id=com.com2us.smon.normal.freefull.google.kr.android.common,com.com2us.smon.normal.freefull.google.kr.android.common
99,N/A,Lep's World 2,April 7 2015,1.9.1.6,48M,10000000 - 50000000,Everyone,Arcade,nerByte GmbH,https://play.google.com/store/apps/details?id=at.ner.lepsWorld2,at.ner.lepsWorld2
101,N/A,Fun Show Hand,May 13 2015,15.05.13,21M,50000 - 100000,Medium Maturity,Card,LuckyStar Game,https://play.google.com/store/apps/details?id=com.luckystargame.funshowhand,com.luckystargame.funshowhand
63,N/A,Hearthstone Heroes of Warcraft,April 22 2015,Medium Maturity,5000000 - 10000000,4.0 and up,Blizzard Entertainment, Inc.,Card,Blizzard Entertainment Inc.,https://play.google.com/store/apps/details?id=com.blizzard.wtcg.hearthstone,com.blizzard.wtcg.hearthstone
64,N/A,Exploration Lite,January 14 2015,1.3.3,2.3M,10000000 - 50000000,Everyone,Adventure,Andrzej Chomiak,https://play.google.com/store/apps/details?id=com.explorationbase.ExplorationLite,com.explorationbase.ExplorationLite
71,N/A,Bubble Witch 2 Saga,May 5 2015,Everyone,50000000 - 100000000,2.3 and up,King,Casual,King,https://play.google.com/store/apps/details?id=com.midasplayer.apps.bubblewitchsaga2,com.midasplayer.apps.bubblewitchsaga2
113,N/A,SimCity BuildIt,May 11 2015,1.3.4.26938,94M,10000000 - 50000000,Low Maturity,Simulation,ELECTRONIC ARTS,https://play.google.com/store/apps/details?id=com.ea.game.simcitymobile_row,com.ea.game.simcitymobile_row
109,N/A,Voice changer with effects,April 30 2015,3.1.10,7.5M,10000000 - 50000000,Everyone,Family,Baviux,https://play.google.com/store/apps/details?id=com.baviux.voicechanger,com.baviux.voicechanger
107,N/A,Wipeout 2,October 16 2014,1.0.2,53M,5000000 - 10000000,Everyone,Action,Activision Publishing Inc.,https://play.google.com/store/apps/details?id=com.activision.wipeout2,com.activision.wipeout2
73,N/A,Bad Piggies,March 19 2015,1.6.1,49M,50000000 - 100000000,Low Maturity,Puzzle,Rovio Entertainment Ltd.,https://play.google.com/store/apps/details?id=com.rovio.BadPiggies,com.rovio.BadPiggies
65,N/A,Hardest Game Ever 2,August 6 2013,15.0,26M,10000000 - 50000000,Low Maturity,Casual,Orangenose Studio,https://play.google.com/store/apps/details?id=org.orangenose.games,org.orangenose.games
83,N/A,Madden NFL Mobile,April 27 2015,Everyone,10000000 - 50000000,3.2 and up,ELECTRONIC ARTS,Sports,ELECTRONIC ARTS,https://play.google.com/store/apps/details?id=com.ea.game.maddenmobile15_row,com.ea.game.maddenmobile15_row
92,N/A,Escaping the Prison,December 22 2014,1.1.1,17M,5000000 - 10000000,Low Maturity,Casual,PuffballsUnited,https://play.google.com/store/apps/details?id=air.com.puffballsunited.escapingtheprison,air.com.puffballsunited.escapingtheprison
116,N/A,Guess the Restaurant Quiz,December 12 2014,1.2,10M,1000000 - 5000000,Everyone,Trivia,All in a Days Play,https://play.google.com/store/apps/details?id=com.aiadp.resquiz,com.aiadp.resquiz
90,N/A,Five Nights At Craft: Freddy,May 11 2015,1.0.1,26M,1000000 - 5000000,Low Maturity,Action,Hypercraft Sarl,https://play.google.com/store/apps/details?id=net.HypercraftSarl.FNaC,net.HypercraftSarl.FNaC
111,N/A,Real Racing 3,April 20 2015,3.3.0,44M,5000000 - 10000000,Low Maturity,Racing,Electronic Arts Inc,https://play.google.com/store/apps/details?id=com.ea.games.r3_na,com.ea.games.r3_na
84,N/A,Castle Clash,May 12 2015,1.2.69,70M,10000000 - 50000000,Medium Maturity,Strategy,IGG.COM,https://play.google.com/store/apps/details?id=com.igg.castleclash,com.igg.castleclash
85,N/A,MONOPOLY Bingo!,March 26 2015,1.7.5.2g,45M,1000000 - 5000000,Medium Maturity,Casino,Storm8 Studios,https://play.google.com/store/apps/details?id=com.sharkparty.monopolybingo,com.sharkparty.monopolybingo
105,N/A,Glow Hockey,November 5 2014,1.2.17,6.6M,100000000 - 500000000,Everyone,Arcade,Natenai Ariyatrakool,https://play.google.com/store/apps/details?id=com.natenai.glowhockey,com.natenai.glowhockey
87,N/A,Shipwrecked: Volcano Island,April 21 2015,Medium Maturity,1000000 - 5000000,3.0 and up,Kiwi, Inc.,Simulation,Kiwi Inc.,https://play.google.com/store/apps/details?id=com.kiwi.volcanoisland,com.kiwi.volcanoisland
66,N/A,Hidden Objects - Mother's Day,April 21 2015,1.0,30M,100000 - 500000,Everyone,Puzzle,Big Bear Entertainment,https://play.google.com/store/apps/details?id=net.bigbearentertainment.android_hog_mothersday,net.bigbearentertainment.android_hog_mothersday
81,N/A,Spider-Man Unlimited,April 6 2015,1.4.1a,23M,10000000 - 50000000,Medium Maturity,Action,Gameloft,https://play.google.com/store/apps/details?id=com.gameloft.android.ANMP.GloftSIHM,com.gameloft.android.ANMP.GloftSIHM
102,N/A,Jetpack Joyride,April 28 2015,Varies with device,Varies with device,100000000 - 500000000,Low Maturity,Arcade,Halfbrick Studios,https://play.google.com/store/apps/details?id=com.halfbrick.jetpackjoyride,com.halfbrick.jetpackjoyride
79,N/A,aa,April 22 2015,1.2.6,5.4M,10000000 - 50000000,Everyone,Strategy,General Adaptive Apps Pty Ltd,https://play.google.com/store/apps/details?id=com.aa.generaladaptiveapps,com.aa.generaladaptiveapps
68,N/A,Furious Racing,May 13 2015,2.9,42M,1000000 - 5000000,Everyone,Racing,Hammerhead Studio,https://play.google.com/store/apps/details?id=com.hammerhead.furious7,com.hammerhead.furious7
72,N/A,Earn to Die 2,May 4 2015,1.0.45,95M,1000000 - 5000000,High Maturity,Racing,Not Doppler,https://play.google.com/store/apps/details?id=com.notdoppler.earntodie2,com.notdoppler.earntodie2
95,N/A,Punch Boxing 3D,April 21 2015,1.0.8,17M,10000000 - 50000000,Medium Maturity,Sports,CanadaDroid,https://play.google.com/store/apps/details?id=com.yx.boxinghero,com.yx.boxinghero
103,N/A,Dr. Driving,March 31 2015,1.42,10M,50000000 - 100000000,Everyone,Racing,SUD Inc.,https://play.google.com/store/apps/details?id=com.ansangha.drdriving,com.ansangha.drdriving
89,N/A,Slotomania - Free Slots Games,May 6 2015,Medium Maturity,10000000 - 50000000,2.3 and up,Playtika,Casino,Playtika,https://play.google.com/store/apps/details?id=air.com.playtika.slotomania,air.com.playtika.slotomania
119,N/A,TAP SPORTS BASEBALL 2015,April 27 2015,1.0.4,36M,1000000 - 5000000,Medium Maturity,Sports,Glu,https://play.google.com/store/apps/details?id=com.glu.baseball15,com.glu.baseball15
69,N/A,Gummy Drop!,May 4 2015,1.9.0,23M,5000000 - 10000000,Everyone,Casual,Big Fish Games,https://play.google.com/store/apps/details?id=com.bigfishgames.gummydropgoogle,com.bigfishgames.gummydropgoogle
112,N/A,Clash of Kings,May 13 2015,1.0.90,48M,10000000 - 50000000,Medium Maturity,Strategy,Elex,https://play.google.com/store/apps/details?id=com.hcg.cok.gp,com.hcg.cok.gp
106,N/A,Bike Race Free - Top Free Game,April 29 2015,2.3 and up,50000000 - 100000000,5.3.1,$0.99 - $59.99 per item,Action,Top Free Games.,https://play.google.com/store/apps/details?id=com.topfreegames.bikeracefreeworld,com.topfreegames.bikeracefreeworld
120,N/A,Bubble Snow,April 24 2015,1.0.0,12M,50000 - 100000,Low Maturity,Puzzle,ELT Game Studio,https://play.google.com/store/apps/details?id=com.bubble.snow2,com.bubble.snow2
88,N/A,Plants vs. Zombies FREE,February 17 2015,1.1.6,66M,10000000 - 50000000,Low Maturity,Strategy,ELECTRONIC ARTS,https://play.google.com/store/apps/details?id=com.ea.game.pvzfree_row,com.ea.game.pvzfree_row
